Name,City,Date,Review,Ratings
Sumitra Swain,"Certified Buyer, Chakan",6 months ago,Awasome Phone Awasome Camera🐼........Rest is History DuduREAD MORE,5
Monish B,"Certified Buyer, Salem",10 months ago,"Battery is worst!I am moving from android, so i feel my 20k android phone is better than this iphone. Although i brought this for apple ecosystem!READ MORE",4
KALPESH SHIRSEKAR,"Certified Buyer, Mumbai","Sep, 2023",Coming from iphone 12 mini.Camera is definitely a upgrade over the previous generation.Design outside remains the same. Pastel colours with matte finish.The Dynamic Island is what i liked for the notification part.Processor of previous generation pro models.Overall a value for money among the 15 models.Got it a great deal in flipkart clubbing exchange and bank offers.Delivery was on time.READ MORE,5
Flipkart Customer,"Certified Buyer, Pune","Oct, 2023",Superb... Shifted from Android to iPhone 15..classs👍READ MORE,5
Bibhu Prasad  Bisoyi,"Certified Buyer, Hyderabad",2 months ago,Nice Product Thanks for Flipkart Camera 10/10Battery 8/10Display 10/10READ MORE,5
Aniket Zurange,"Certified Buyer, Pune",2 months ago,I order smartphone from Flipkart. This is my 4th phone i order. I have had the best experience every time.READ MORE,5
Flipkart Customer,"Certified Buyer, Kozhikode",2 months ago,"Great phone except the battery, which isn't bad as well. Just not as good as other flagshipsREAD MORE",5
Nitin Kumar,"Certified Buyer, New Delhi",6 months ago,Very nice product 👌👌👌👌👌READ MORE,5
Mohammad  Zishan ,"Certified Buyer, Koch Bihar",10 months ago,Amazing one_____😍😘✌️READ MORE,5
jithu reddy,"Certified Buyer, Anantapur",10 months ago,Performance superREAD MORE,5
Abnish  Sen ,"Certified Buyer, Kanpur",10 months ago,SuperREAD MORE,5
Anwar Customer,"Certified Buyer, Parasi",11 months ago,Only 90fps is need And best phone of the year goes to this phoneREAD MORE,5
Sachinaaaa,"Certified Buyer, Bengaluru",11 months ago,A fantastic product. I was an iPhone 13 user I have upgraded to this. Brilliant display. I can see a great difference in battery backup. I can also say that the Dynamic Island helps in UI to the users. Looks premium. Price range might drop in a year. Thanks for Flipkart sale days.READ MORE,5
